,Nome,Idade,Cidade,Orgao1,Demanda1,Orgao2,Demanda2
504,Alice Lima,48,"Colônia Bárbara Guerra, 16
Fernão Dias
44426347 Farias de Sá / RO",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,funade,Aquisição da Carteira de Passe Livre Intermunicipal
505,Antonella Ferreira,56,"Núcleo Albuquerque, 513
Lagoa
24627277 Campos de Dias / RJ",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,cbmpb,Perícia de Incêndio e Explosão
506,Dr. Ravi Almeida,38,"Lago de Moura, 44
Vale Do Jatoba
38198-168 Lima de Goiás / AM",funade,Aquisição da Carteira de Passe Livre Intermunicipal,detran,INDICAÇÃO DE CONDUTOR INFRATOR
507,Maria Luísa Rocha,18,"Aeroporto Lucas Gabriel da Paz, 50
Biquinhas
98438-613 Pimenta Alegre / BA",detran,INDICAÇÃO DE CONDUTOR INFRATOR,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
508,Vitor Pacheco,40,"Rodovia de Vargas, 84
Vila Antena
12275-882 Cardoso / PE",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,funade,Aquisição da Carteira de Passe Livre Intermunicipal
509,Gabrielly Pinto,37,"Jardim Murilo da Luz, 59
Sagrada Família
25225-082 Rios / PA",sudema,Licença por Adesão e Compromisso,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
510,Dom Cassiano,58,"Fazenda de Gomes
Grajaú
83834-457 Novais Paulista / RS",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
511,Vinicius Moura,40,"Fazenda Pacheco
Zilah Sposito
98378765 Sousa de Goiás / MG",sudema,Licença por Adesão e Compromisso,cagepa,ATUALIZAÇÃO CADASTRAL
512,Maria Cecília Campos,32,"Área de da Costa, 748
Vila Antena Montanhês
66003-403 Rodrigues da Praia / RS",cagepa,ATUALIZAÇÃO CADASTRAL,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
513,Maria Flor das Neves,39,"Largo de da Cruz, 81
Marieta 2ª Seção
17320-652 Guerra / RR",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
514,Ian Santos,34,"Viela da Cunha
Vale Do Jatoba
10932949 Guerra de Souza / RS",detran,PRIMEIRA HABILITAÇÃO,cinep,Concessão de Incentivo Fiscal a Empresas
515,Helena Brito,36,"Loteamento Sampaio, 2
Céu Azul
26691508 Sá / RR",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,sudema,Licença por Adesão e Compromisso
516,Josué Gomes,37,"Campo de Silva, 95
Santo Agostinho
27918115 Novais / RJ",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,cagepa,LIGAÇÃO DE ÁGUA
517,Sophia Martins,30,"Vereda Oliveira, 66
Nova Gameleira
24329-712 Moraes / PI",cinep,Concessão de Incentivo Locacional a Empresas,funade,Serviço de Informação ao Cidadão
518,Ravi Lucca Rodrigues,37,"Distrito Matheus Abreu, 50
Vila Mangueiras
19887-860 Mendonça / PR",detran,PRIMEIRA HABILITAÇÃO,detran,RENOVAÇÃO DA CNH SIMPLES
519,Gabriela Pereira,44,"Distrito de Freitas
Unidas
12616391 Ferreira da Serra / RO",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
520,Sra. Alexia Costela,36,"Chácara Léo Peixoto
Tiradentes
22166439 Barros da Mata / RO",sudema,Licença de Operação para Pesquisa Mineral,cbmpb,Socorro de Emergências
521,Lucas Gabriel Cirino,31,"Condomínio Ana Júlia Câmara, 85
Santa Inês
06423738 da Paz do Oeste / RS",cbmpb,Perícia de Incêndio e Explosão,cinep,Concessão de Incentivo Fiscal a Empresas
522,Luan Sampaio,43,"Núcleo de Castro, 5
Vila Inestan
78243-667 Pereira das Flores / PB",cinep,Concessão de Incentivo Locacional a Empresas,funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA
523,Nina Alves,34,"Vereda Luiz Henrique Costela, 38
Anchieta
09906-994 Pacheco Grande / RN",cinep,Concessão de Incentivo Locacional a Empresas,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
524,Juliana Gonçalves,29,"Condomínio de da Costa, 2
Conjunto Novo Dom Bosco
53082-118 Lopes / RJ",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,detran,INDICAÇÃO DE CONDUTOR INFRATOR
525,Maysa Freitas,50,"Recanto Nunes, 247
Havaí
38726539 Garcia / BA",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,funade,Aquisição da Carteira de Passe Livre Intermunicipal
526,Manuella Moura,37,"Condomínio Casa Grande, 1
Sagrada Família
54748823 Sousa / RJ",detran,PRIMEIRA HABILITAÇÃO,cagepa,LIGAÇÃO DE ÁGUA
527,Lívia Caldeira,20,"Esplanada Correia, 92
Grota
12578920 Rezende / SC",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,cagepa,ATUALIZAÇÃO CADASTRAL
528,Cauã Casa Grande,50,"Estação Cavalcante, 82
Cabana Do Pai Tomás
14368-493 Rodrigues Verde / PR",cbmpb,Perícia de Incêndio e Explosão,funade,Aquisição da Carteira de Passe Livre Intermunicipal
529,Bryan Pereira,35,"Via Macedo, 97
Vila São Francisco
01009834 Borges / PI",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,detran,PRIMEIRA HABILITAÇÃO
530,Breno da Cunha,20,"Quadra Martins, 33
Primeiro De Maio
62772249 Barbosa / MG",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
531,Vinícius Araújo,36,"Viela de Cavalcanti, 94
Vila Do Pombal
59198-298 Pires do Campo / TO",cagepa,ATUALIZAÇÃO CADASTRAL,detran,PRIMEIRA HABILITAÇÃO
532,Luiz Miguel Lopes,37,"Lagoa da Conceição
Vila União
90895-074 Silva / RS",detran,PRIMEIRA HABILITAÇÃO,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
533,Marcos Vinicius Vargas,55,"Favela Luiza Vasconcelos, 92
Vila Da Luz
89700-857 Ferreira / AP",funade,Aquisição da Carteira de Passe Livre Intermunicipal,detran,INDICAÇÃO DE CONDUTOR INFRATOR
534,Maria Sophia Barros,34,"Parque Bento Cavalcanti
Dom Bosco
37292159 Rios das Flores / PR",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,detran,INDICAÇÃO DE CONDUTOR INFRATOR
535,Ana Beatriz Vargas,34,"Núcleo de Ribeiro, 148
Vila Paquetá
10256583 Garcia / AM",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,detran,RENOVAÇÃO DA CNH SIMPLES
536,Igor Pimenta,31,"Jardim de Fogaça, 446
Barão Homem De Melo 2ª Seção
64736044 Almeida do Oeste / PR",cagepa,ATUALIZAÇÃO CADASTRAL,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
537,Aylla Fonseca,18,"Alameda Dom Camargo, 232
Camargos
12991-651 Câmara / CE",cagepa,ATUALIZAÇÃO CADASTRAL,cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO
538,Sr. Murilo Nascimento,32,"Parque Pedro Miguel Cirino
Maria Virgínia
25916-189 Casa Grande / MS",sudema,Licença por Adesão e Compromisso,funade,Serviço Especializado em Triagem e Diagnóstico
539,Rafaela Carvalho,23,"Núcleo de Barros, 9
Cidade Jardim Taquaril
05436853 Vasconcelos / RR",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,funade,Serviço de Informação ao Cidadão
540,Augusto Azevedo,50,"Área de Sampaio, 48
São Salvador
99138-712 Ferreira de Pereira / PR",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),funade,Aquisição da Carteira de Passe Livre Intermunicipal
541,Rafaela Vieira,25,"Campo Aylla Pastor, 4
Nova Pampulha
32938-442 Pimenta / PA",cbmpb,Socorro de Emergências,cinep,Concessão de Incentivo Locacional a Empresas
542,Gabriela Brito,26,"Conjunto Yan Cavalcanti, 13
Castanheira
96603598 Rios / MS",cagepa,ATUALIZAÇÃO CADASTRAL,funade,Serviço Especializado em Triagem e Diagnóstico
543,Mathias Silva,29,"Alameda Henrique Araújo, 320
União
71677288 Silveira do Campo / GO",cbmpb,Perícia de Incêndio e Explosão,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
544,Vitor Gabriel Moura,18,"Largo Dias, 24
Pindorama
79328-577 Garcia de Garcia / AL",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
545,Clara da Mota,51,"Lago Daniel Novais, 56
Santo Agostinho
59829-284 Camargo de Goiás / MG",cinep,Concessão de Incentivo Locacional a Empresas,funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA
546,Melissa Pinto,41,"Área Luan Cassiano, 53
Lagoa
50800-731 Duarte / RJ",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,cagepa,ATUALIZAÇÃO CADASTRAL
547,Maria Luísa Ribeiro,30,"Quadra Murilo Guerra, 183
Vila São Gabriel
25692213 Cirino do Galho / SP",detran,RENOVAÇÃO DA CNH SIMPLES,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
548,Maria Laura Novaes,32,"Fazenda de Montenegro, 43
Corumbiara
59462-773 Freitas / PA",cinep,Concessão de Incentivo Fiscal a Empresas,funade,Serviço de Informação ao Cidadão
549,Maria Flor da Paz,29,"Distrito Carvalho, 6
Lorena
24816005 Pimenta / SE",sudema,Licença de Operação para Pesquisa Mineral,cbmpb,Perícia de Incêndio e Explosão
550,Dra. Maria Luiza Nunes,18,"Vale de Garcia, 25
Esplanada
53037-565 Cirino Alegre / GO",funade,Serviço de Informação ao Cidadão,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
551,Vitor Hugo Jesus,42,"Alameda Rafael Siqueira, 70
Diamante
55293-138 Rocha / PB",sudema,Licença por Adesão e Compromisso,cbmpb,Socorro de Emergências
552,Sr. Benjamim Cavalcante,18,"Sítio de Cassiano, 54
Pousada Santo Antonio
74452-307 Novaes / PR",cbmpb,Perícia de Incêndio e Explosão,cagepa,LIGAÇÃO DE ÁGUA
553,Camila Aragão,51,"Rua Melo, 92
São Lucas
65237953 das Neves / MT",funade,Serviço de Informação ao Cidadão,cagepa,LIGAÇÃO DE ÁGUA
554,Otávio Vargas,29,"Jardim de Castro, 73
Boa Viagem
90945584 Ramos do Norte / DF",detran,PRIMEIRA HABILITAÇÃO,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
555,Kamilly Nascimento,25,"Estação de Lima, 92
Esplanada
13071691 Correia / SE",detran,INDICAÇÃO DE CONDUTOR INFRATOR,funade,Serviço Especializado em Triagem e Diagnóstico
556,Gustavo Cirino,41,"Jardim de Martins, 646
Vila Antena
52242721 Pinto da Praia / AM",cagepa,LIGAÇÃO DE ÁGUA,cbmpb,Perícia de Incêndio e Explosão
557,Raul Pires,31,"Pátio de Santos
Bonsucesso
33334853 da Costa do Norte / PA",funade,Serviço Especializado em Triagem e Diagnóstico,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
558,Bruna Aparecida,51,"Esplanada de Pires, 8
Vila São Francisco
38705790 da Mota / MS",funade,Serviço Especializado em Triagem e Diagnóstico,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
559,Maria Fernanda Campos,40,"Recanto de Fonseca, 912
Rio Branco
75707363 da Costa da Praia / RN",cagepa,ATUALIZAÇÃO CADASTRAL,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
560,Bernardo Campos,38,"Avenida Larissa da Cunha, 3
Vila Trinta E Um De Março
85415-867 Sousa de Mendonça / AM",sudema,Licença por Adesão e Compromisso,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
561,Maria Alice Pires,30,"Feira de Sales, 579
Dona Clara
22036381 da Cunha / PI",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,funade,Serviço Especializado em Triagem e Diagnóstico
562,Caleb Andrade,26,"Distrito Ian Farias, 93
São Gabriel
27154-409 da Conceição de Camargo / PR",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
563,Gabriel Novaes,42,"Trevo da Paz, 52
Tupi B
75156123 Ferreira / RO",cbmpb,Socorro de Emergências,cinep,Concessão de Incentivo Fiscal a Empresas
564,Dr. Mathias Barbosa,43,"Viela Pacheco, 89
Vila Aeroporto
50822292 Lima da Mata / AC",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,detran,RENOVAÇÃO DA CNH SIMPLES
565,Clara Santos,35,"Vila Sophia Oliveira, 9
Frei Leopoldo
26198009 Alves / SC",detran,INDICAÇÃO DE CONDUTOR INFRATOR,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
566,Vitor Hugo Farias,36,"Feira de Vasconcelos
Inconfidência
16469-795 Vieira de Câmara / RJ",detran,RENOVAÇÃO DA CNH SIMPLES,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
567,Cecilia Pimenta,24,"Praia Bruno da Mota, 454
Jardim Vitoria
25339695 Teixeira da Praia / RS",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,cbmpb,Perícia de Incêndio e Explosão
568,Aylla Costa,45,"Via Erick Cunha, 79
Ventosa
68446808 Peixoto / CE",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO
569,Gabrielly Rocha,32,"Trecho Jesus, 2
Vila Ecológica
27800533 Rodrigues de Campos / RO",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,cbmpb,Perícia de Incêndio e Explosão
570,Bento Peixoto,24,"Alameda de Camargo, 94
Vila Petropolis
66403457 Rodrigues / PA",detran,INDICAÇÃO DE CONDUTOR INFRATOR,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
571,Lucas Duarte,42,"Vila Montenegro, 40
São Francisco
74719683 Silveira de Fogaça / CE",cagepa,LIGAÇÃO DE ÁGUA,funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA
572,Ravi Lucca Duarte,38,"Ladeira Gael Henrique Sampaio
Vila Calafate
09324228 Ramos do Galho / PA",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,cagepa,LIGAÇÃO DE ÁGUA
573,Luiz Henrique Freitas,31,"Avenida de Fernandes, 587
Xodo-Marize
25205191 Moraes / MG",funade,Aquisição da Carteira de Passe Livre Intermunicipal,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
574,João Miguel Nogueira,27,"Vale Garcia, 23
Dona Clara
97669-960 Fogaça dos Dourados / PR",detran,PRIMEIRA HABILITAÇÃO,sudema,Licença de Operação para Pesquisa Mineral
575,José Jesus,40,"Feira Milena Cassiano, 17
Vila Da Paz
21553-851 Pacheco / PB",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,sudema,Licença de Operação para Pesquisa Mineral
576,Asafe Gomes,31,"Jardim Araújo, 84
Novo Santa Cecilia
83467426 Novaes / RS",funade,Serviço de Informação ao Cidadão,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
577,Dr. Yan Nogueira,25,"Parque de Rezende, 677
Alto Dos Pinheiros
75119300 Silveira / PE",cagepa,ATUALIZAÇÃO CADASTRAL,sudema,Licença por Adesão e Compromisso
578,Kamilly Costa,19,"Rua Cunha, 79
Bacurau
47733202 Ferreira / AM",cagepa,LIGAÇÃO DE ÁGUA,funade,Serviço de Informação ao Cidadão
579,Theo Moraes,41,"Estação Igor Pereira
Álvaro Camargos
58351648 da Paz / AC",cinep,Concessão de Incentivo Fiscal a Empresas,cbmpb,Socorro de Emergências
580,Paulo Câmara,37,"Recanto Sampaio, 7
São Lucas
10434-640 Lima / GO",detran,INDICAÇÃO DE CONDUTOR INFRATOR,sudema,Licença de Operação para Pesquisa Mineral
581,Ágatha Silva,23,"Chácara de Casa Grande
Lagoinha
32671-346 Camargo / RR",cbmpb,Socorro de Emergências,cagepa,ATUALIZAÇÃO CADASTRAL
582,Rafaela da Rocha,40,"Chácara André Machado, 81
Estrela Do Oriente
65841-914 Abreu / RR",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
583,Davi Miguel da Paz,32,"Chácara de Barbosa
Anchieta
63985290 Lopes / RJ",funade,Aquisição da Carteira de Passe Livre Intermunicipal,cagepa,ATUALIZAÇÃO CADASTRAL
584,Marcelo Marques,48,"Viela Costela, 73
Concórdia
88943176 Oliveira / RR",detran,RENOVAÇÃO DA CNH SIMPLES,funade,Serviço Especializado em Triagem e Diagnóstico
585,Marcos Vinicius Rodrigues,27,"Aeroporto Souza, 79
Jardim Vitoria
96138-266 Aparecida de Nunes / PB",cagepa,ATUALIZAÇÃO CADASTRAL,funade,Serviço Especializado em Triagem e Diagnóstico
586,Dra. Stella Rios,27,"Lago Elisa Costela, 38
Parque São José
25095034 Freitas / AC",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,sudema,Licença de Operação para Pesquisa Mineral
587,Maria Laura Carvalho,30,"Loteamento de Campos, 82
Alto Das Antenas
59781945 Fonseca de Montenegro / RN",funade,Serviço Especializado em Triagem e Diagnóstico,sudema,Licença por Adesão e Compromisso
588,Mariana Moura,40,"Parque de Marques, 57
Vila Dos Anjos
95010-367 Vieira / SP",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,cinep,Concessão de Incentivo Locacional a Empresas
589,Leandro da Rosa,22,"Viaduto Ferreira, 32
Jaqueline
17159-247 Alves do Oeste / MS",detran,RENOVAÇÃO DA CNH SIMPLES,cagepa,LIGAÇÃO DE ÁGUA
590,Cecília Moura,32,"Aeroporto Pinto, 54
Xodo-Marize
66854790 Abreu do Galho / RR",cinep,Concessão de Incentivo Fiscal a Empresas,detran,RENOVAÇÃO DA CNH SIMPLES
591,Laís Vasconcelos,58,"Recanto de Campos, 9
Vila Calafate
36028050 Ribeiro / RO",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,detran,RENOVAÇÃO DA CNH SIMPLES
592,Anthony Gabriel Fogaça,33,"Praia da Cunha, 9
Aarão Reis
97808-312 Sá do Norte / RO",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO
593,Dr. Mathias Costa,27,"Alameda Rezende, 10
Custodinha
55499-174 Vieira Paulista / RO",funade,Serviço Especializado em Triagem e Diagnóstico,detran,INDICAÇÃO DE CONDUTOR INFRATOR
594,Dante das Neves,58,"Viela Davi Lucca Martins, 52
Dom Bosco
76752214 Rios / GO",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,funade,Aquisição da Carteira de Passe Livre Intermunicipal
595,Srta. Valentina da Mata,40,"Área de Lima, 400
Jatobá
87380506 Novaes / MA",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,cbmpb,Perícia de Incêndio e Explosão
596,Ian da Mota,33,"Fazenda Melo
Vila Nova Gameleira 3ª Seção
73199964 Rezende Paulista / GO",funade,Aquisição da Carteira de Passe Livre Intermunicipal,cagepa,ATUALIZAÇÃO CADASTRAL
597,Milena Ribeiro,30,"Lagoa Marcelo Sousa
Palmares
16150886 Nascimento / RO",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,cbmpb,Perícia de Incêndio e Explosão
598,Rebeca Costela,32,"Recanto Beatriz Mendes, 19
Santana Do Cafezal
55314765 Marques da Praia / AL",detran,PRIMEIRA HABILITAÇÃO,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
599,Maria Helena Nunes,32,"Passarela Juliana Costa, 47
São Vicente
62992-809 Sampaio de da Rocha / RR",cinep,Concessão de Incentivo Locacional a Empresas,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
600,Enzo Câmara,45,"Vale de Macedo, 32
Vila Santa Monica 1ª Seção
04377-741 Martins / DF",sudema,Licença de Operação para Pesquisa Mineral,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
601,Paulo Melo,34,"Vila Helena Fogaça
Ermelinda
12867835 da Mata / AM",funade,Aquisição da Carteira de Passe Livre Intermunicipal,cagepa,LIGAÇÃO DE ÁGUA
602,Enzo da Rosa,28,"Condomínio Moreira, 56
Alta Tensão 1ª Seção
60304052 Costa Paulista / GO",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),detran,INDICAÇÃO DE CONDUTOR INFRATOR
603,Luna Garcia,35,"Loteamento Cardoso, 968
Aguas Claras
98842973 Marques Grande / PA",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,funade,Aquisição da Carteira de Passe Livre Intermunicipal
604,Miguel Novais,18,"Via Elisa Borges, 878
Barreiro
86644731 Lima / RR",funade,Aquisição da Carteira de Passe Livre Intermunicipal,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
605,Hellena Santos,34,"Rodovia Leão
Flamengo
27102-878 Pacheco Grande / MG",detran,INDICAÇÃO DE CONDUTOR INFRATOR,funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA
606,Luiz Fernando Melo,39,"Favela de Cavalcante, 74
Tupi B
26729-175 Brito da Praia / AC",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,cbmpb,Perícia de Incêndio e Explosão
607,Srta. Ana Liz Fogaça,34,"Estação Souza
Cdi Jatoba
74082-782 Farias da Praia / AC",detran,RENOVAÇÃO DA CNH SIMPLES,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
608,Sr. Calebe da Conceição,34,"Parque de Freitas, 47
Maria Virgínia
33821686 Jesus da Mata / ES",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
609,Vitor Teixeira,25,"Recanto Maria Helena Vargas, 65
Vitoria Da Conquista
53075-395 das Neves Verde / AC",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,cagepa,LIGAÇÃO DE ÁGUA
610,Danilo Rios,41,"Praça Emanuelly Jesus, 22
São Bernardo
57944-655 Mendonça / SP",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
611,Sr. Ian Costela,18,"Campo de Porto, 62
Pongelupe
41777-820 Castro / MT",cinep,Concessão de Incentivo Fiscal a Empresas,cinep,Concessão de Incentivo Locacional a Empresas
612,Manuella Santos,30,"Condomínio de Sousa
São Salvador
08550884 Câmara Paulista / PR",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,cagepa,ATUALIZAÇÃO CADASTRAL
613,Lívia Nogueira,28,"Travessa Mendonça, 2
Bairro Das Indústrias Ii
22379-575 Nascimento / MG",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA
614,Henry Gabriel da Conceição,28,"Estrada de Cardoso, 4
Minaslandia
25472816 da Conceição / PR",funade,Serviço Especializado em Triagem e Diagnóstico,cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO
615,Dra. Anna Liz Moura,45,"Ladeira Duarte, 69
Inconfidência
36460-149 Rocha da Praia / ES",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,sudema,Licença por Adesão e Compromisso
616,Alice Andrade,42,"Lagoa de Guerra
Miramar
10019979 Nogueira de Minas / RJ",cagepa,LIGAÇÃO DE ÁGUA,sudema,Licença de Operação para Pesquisa Mineral
617,Larissa Novais,18,"Rodovia de Sá, 95
Petropolis
20697174 Sousa / ES",cinep,Concessão de Incentivo Locacional a Empresas,cbmpb,Socorro de Emergências
618,Arthur Casa Grande,28,"Pátio Melo, 54
Grajaú
03415-193 Gomes da Praia / RN",sudema,Licença de Operação para Pesquisa Mineral,cinep,Concessão de Incentivo Fiscal a Empresas
619,Sabrina Lopes,25,"Feira de da Cruz, 488
Sion
20285561 Abreu / RO",detran,PRIMEIRA HABILITAÇÃO,funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA
620,Arthur Rocha,22,"Colônia Fernandes, 5
São Damião
04964-275 Ferreira / PI",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,sudema,Licença de Operação para Pesquisa Mineral
621,Sr. Thales Campos,39,"Estrada Lara Silveira, 526
Lagoinha
46615225 Abreu / SP",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
622,Ryan da Conceição,31,"Sítio de Teixeira, 55
Nova Vista
72566764 Cavalcanti / TO",sudema,Licença de Operação para Pesquisa Mineral,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
623,Bryan Duarte,45,"Parque Renan Moura, 35
Vila Da Amizade
34073-943 da Luz do Sul / GO",cinep,Concessão de Incentivo Fiscal a Empresas,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
624,Léo Gonçalves,49,"Passarela de Sousa, 973
Caiçaras
43033-455 Oliveira do Norte / MS",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,cagepa,LIGAÇÃO DE ÁGUA
625,Dra. Olivia Santos,38,"Núcleo Elisa Dias, 36
Novo Santa Cecilia
87763-001 Pastor / TO",funade,Aquisição da Carteira de Passe Livre Intermunicipal,detran,PRIMEIRA HABILITAÇÃO
626,Marcela Novais,35,"Estação Benjamin da Mata, 945
Frei Leopoldo
52727-811 da Cruz / CE",detran,INDICAÇÃO DE CONDUTOR INFRATOR,cbmpb,Socorro de Emergências
627,Maria Laura da Paz,36,"Quadra Renan da Cruz, 77
Serra
41441-794 Lopes / MA",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),cinep,Concessão de Incentivo Fiscal a Empresas
628,Srta. Marina da Rosa,40,"Viaduto Laís Porto
Pompéia
30182783 Sales / RR",cagepa,ATUALIZAÇÃO CADASTRAL,sudema,Licença de Operação para Pesquisa Mineral
629,Pedro Lucas Rodrigues,34,"Residencial Monteiro, 77
Novo Das Industrias
76504711 Cunha de Freitas / SP",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,detran,PRIMEIRA HABILITAÇÃO
630,Ayla Teixeira,32,"Colônia de Duarte, 88
Novo Ouro Preto
54880399 Nogueira do Sul / PB",cinep,Concessão de Incentivo Fiscal a Empresas,funade,Serviço de Informação ao Cidadão
631,João Lucas Leão,41,"Fazenda da Conceição, 321
Minas Brasil
66506-162 Nascimento do Oeste / BA",detran,PRIMEIRA HABILITAÇÃO,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
